month,hour,Price
1,0,0.04371225806451613
1,1,0.03895
1,2,0.03608677419354839
1,3,0.034500967741935486
1,4,0.03710387096774194
1,5,0.04259774193548387
1,6,0.05069064516129032
1,7,0.06058516129032258
1,8,0.06475451612903226
1,9,0.06683806451612903
1,10,0.0654683870967742
1,11,0.0651683870967742
1,12,0.06353516129032258
1,13,0.06179548387096774
1,14,0.06111322580645161
1,15,0.062227741935483874
1,16,0.06768774193548388
1,17,0.07366354838709678
1,18,0.07223290322580646
1,19,0.06783096774193548
1,20,0.06220096774193548
1,21,0.05551193548387097
1,22,0.052884516129032264
1,23,0.04641774193548387
2,0,0.04025321428571428
2,1,0.037021785714285715
2,2,0.03401571428571428
2,3,0.03305285714285715
2,4,0.03514
2,5,0.039420000000000004
2,6,0.04832285714285715
2,7,0.05743571428571429
2,8,0.06103464285714285
2,9,0.060898214285714285
2,10,0.05793107142857142
2,11,0.05600357142857143
2,12,0.05330714285714285
2,13,0.05117785714285714
2,14,0.05038178571428571
2,15,0.05227571428571428
2,16,0.05615
2,17,0.06502821428571429
2,18,0.06931107142857143
2,19,0.06483392857142857
2,20,0.057895714285714286
2,21,0.05038642857142857
2,22,0.04736714285714285
2,23,0.04185714285714286
3,0,0.049156451612903225
3,1,0.04667677419354838
3,2,0.04524966666666667
3,3,0.04410032258064516
3,4,0.044804838709677414
3,5,0.04961064516129032
3,6,0.05614806451612903
3,7,0.06311129032258064
3,8,0.06292645161290322
3,9,0.05848451612903226
3,10,0.053951935483870964
3,11,0.052365161290322586
3,12,0.051032580645161287
3,13,0.04919612903225806
3,14,0.04881451612903226
3,15,0.05048129032258065
3,16,0.05393387096774194
3,17,0.06004677419354839
3,18,0.07332999999999999
3,19,0.07614096774193549
3,20,0.06607903225806451
3,21,0.058426129032258065
3,22,0.05579096774193548
3,23,0.05073709677419355
4,0,0.057257666666666665
4,1,0.05327933333333333
4,2,0.05151466666666667
4,3,0.05074266666666667
4,4,0.05227433333333333
4,5,0.055918333333333334
4,6,0.06469966666666667
4,7,0.07640766666666667
4,8,0.07889733333333333
4,9,0.070942
4,10,0.063956
4,11,0.061752
4,12,0.059776333333333334
4,13,0.055573333333333336
4,14,0.05279333333333334
4,15,0.052855
4,16,0.056031333333333336
4,17,0.060755333333333335
4,18,0.06876466666666667
4,19,0.08146533333333333
4,20,0.08366633333333334
4,21,0.07312133333333333
4,22,0.067843
4,23,0.06029066666666667
5,0,0.05737838709677419
5,1,0.05210548387096774
5,2,0.049016451612903224
5,3,0.04766032258064516
5,4,0.04800451612903226
5,5,0.051110322580645164
5,6,0.06141129032258065
5,7,0.06958
5,8,0.07110935483870968
5,9,0.0660241935483871
5,10,0.060318709677419355
5,11,0.05911774193548387
5,12,0.056599032258064515
5,13,0.05092935483870968
5,14,0.04646451612903226
5,15,0.04811483870967742
5,16,0.05222225806451613
5,17,0.05818225806451613
5,18,0.0674190322580645
5,19,0.07568870967741936
5,20,0.08098483870967742
5,21,0.07563935483870968
5,22,0.07115967741935485
5,23,0.06240516129032258
6,0,0.07381966666666666
6,1,0.06708333333333334
6,2,0.06429166666666666
6,3,0.06261433333333334
6,4,0.06230966666666667
6,5,0.06466533333333332
6,6,0.075412
6,7,0.08381
6,8,0.08616733333333333
6,9,0.08172666666666667
6,10,0.07569866666666666
6,11,0.07494033333333334
6,12,0.07475566666666666
6,13,0.068728
6,14,0.06834633333333334
6,15,0.07138333333333334
6,16,0.07552166666666667
6,17,0.081969
6,18,0.08950999999999999
6,19,0.09834499999999999
6,20,0.100815
6,21,0.09794033333333334
6,22,0.089489
6,23,0.08020000000000001
7,0,0.0867216129032258
7,1,0.07870870967741936
7,2,0.0738667741935484
7,3,0.07158645161290324
7,4,0.07139548387096774
7,5,0.07456709677419356
7,6,0.08699419354838708
7,7,0.09681838709677419
7,8,0.09924548387096774
7,9,0.09505290322580645
7,10,0.09394
7,11,0.09636225806451612
7,12,0.09746161290322582
7,13,0.09485354838709677
7,14,0.09392258064516129
7,15,0.09710290322580646
7,16,0.10123290322580646
7,17,0.10405903225806452
7,18,0.11025096774193549
7,19,0.11767483870967742
7,20,0.1216658064516129
7,21,0.1176183870967742
7,22,0.10895838709677419
7,23,0.09359645161290323
8,0,0.09465032258064515
8,1,0.07982903225806451
8,2,0.07480290322580646
8,3,0.07190516129032258
8,4,0.07232741935483872
8,5,0.07903774193548387
8,6,0.0956683870967742
8,7,0.11504129032258065
8,8,0.1165916129032258
8,9,0.10669032258064516
8,10,0.09947064516129032
8,11,0.09869870967741935
8,12,0.10328
8,13,0.10079806451612904
8,14,0.10207935483870968
8,15,0.10946451612903227
8,16,0.12491322580645162
8,17,0.13039193548387099
8,18,0.14240193548387098
8,19,0.1511683870967742
8,20,0.16539290322580646
8,21,0.14308838709677418
8,22,0.13296870967741933
8,23,0.10573741935483871
9,0,0.116152
9,1,0.10840466666666668
9,2,0.10256833333333333
9,3,0.099042
9,4,0.10006566666666666
9,5,0.109336
9,6,0.138176
9,7,0.15490333333333334
9,8,0.16004966666666667
9,9,0.15115299999999998
9,10,0.14063299999999998
9,11,0.133183
9,12,0.12924833333333333
9,13,0.123057
9,14,0.120542
9,15,0.12735066666666667
9,16,0.13715766666666665
9,17,0.14890766666666666
9,18,0.16644133333333333
9,19,0.18802566666666667
9,20,0.17314566666666667
9,21,0.15055333333333334
9,22,0.141566
9,23,0.122677
10,0,0.1623709677419355
10,1,0.14047387096774192
10,2,0.125321875
10,3,0.11756483870967742
10,4,0.1261309677419355
10,5,0.1621425806451613
10,6,0.2004467741935484
10,7,0.23907129032258062
10,8,0.24412193548387096
10,9,0.2271264516129032
10,10,0.20379225806451615
10,11,0.1951883870967742
10,12,0.1860606451612903
10,13,0.17477709677419356
10,14,0.17484129032258064
10,15,0.19408225806451612
10,16,0.2174316129032258
10,17,0.23952967741935483
10,18,0.2766025806451613
10,19,0.28865032258064516
10,20,0.2519516129032258
10,21,0.21898129032258062
10,22,0.20233548387096775
10,23,0.16513354838709676
11,0,0.165872
11,1,0.15500966666666666
11,2,0.146011
11,3,0.1433303333333333
11,4,0.14952633333333332
11,5,0.17205633333333334
11,6,0.20361366666666667
11,7,0.23904433333333333
11,8,0.24787033333333333
11,9,0.23944400000000002
11,10,0.23197766666666667
11,11,0.23256500000000002
11,12,0.23027233333333333
11,13,0.22875900000000002
11,14,0.24069633333333332
11,15,0.25428433333333333
11,16,0.268107
11,17,0.2911473333333333
11,18,0.282481
11,19,0.258817
11,20,0.23599133333333333
11,21,0.20523533333333335
11,22,0.19235366666666665
11,23,0.16629533333333332
12,0,0.18001290322580646
12,1,0.16298290322580644
12,2,0.1486825806451613
12,3,0.13796032258064517
12,4,0.15333354838709676
12,5,0.18357129032258065
12,6,0.22514516129032258
12,7,0.272998064516129
12,8,0.29194903225806457
12,9,0.29491838709677415
12,10,0.28899903225806456
12,11,0.28607967741935486
12,12,0.27838161290322583
12,13,0.27249709677419354
12,14,0.2803074193548387
12,15,0.29276032258064516
12,16,0.3116535483870968
12,17,0.3278551612903226
12,18,0.3167248387096774
12,19,0.2943474193548387
12,20,0.2639741935483871
12,21,0.2350148387096774
12,22,0.2214025806451613
12,23,0.17797
